"Keyword","Avg. Search Volume","Location","CPC","PPC","Keyword Difficulty","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020"
"pêche",57600,"France",0.24,7,43,8100,8100,8100,9900,9900,8100,8100,9900,12100,74000,74000,74000,74000,74000,74000,90500,74000,60500,60500,60500,60500,60500,74000,74000,74000,74000,74000,90500,74000,60500,49500,49500,60500,49500,74000,60500,74000,74000,74000,90500,74000,60500,40500,49500,49500,40500,49500,49500,60500,60500,74000,74000,74000,60500,49500,49500,49500
"materiel de peche",5500,"France",0.2,100,38,,,,9900,6600,6600,5400,6600,6600,8100,9900,8100,9900,8100,8100,8100,6600,5400,5400,5400,5400,6600,8100,6600,8100,6600,8100,8100,6600,4400,4400,3600,5400,5400,6600,5400,6600,5400,5400,6600,5400,4400,3600,3600,4400,4400,5400,5400,6600,6600,6600,8100,5400,4400,4400,4400,4400
"materiel peche",1800,"France",0.21,100,30,,,,3600,2400,1900,1900,1900,2400,2400,3600,2900,3600,2400,2400,2900,2400,1900,1900,1900,1900,2400,2900,2400,2400,2400,2400,2400,1900,1600,1600,1600,1900,1900,2400,2400,2900,1900,1900,2400,1600,1600,1300,1300,1600,1600,1900,1900,2400,2400,2400,2900,1600,1000,1300,1300,1300
"article de peche",6200,"France",0.26,100,39,,,,8100,6600,5400,5400,5400,6600,6600,6600,8100,8100,6600,6600,8100,6600,5400,5400,5400,5400,5400,6600,5400,6600,6600,8100,9900,5400,5400,4400,4400,4400,4400,5400,4400,6600,5400,6600,8100,5400,4400,4400,4400,5400,4400,5400,5400,8100,6600,8100,12100,6600,5400,4400,4400,4400
"peche carpe",4100,"France",0.27,100,37,,,,6600,5400,4400,4400,5400,6600,6600,6600,8100,8100,6600,6600,9900,5400,4400,3600,2900,4400,4400,5400,5400,5400,4400,5400,5400,4400,3600,2900,2900,3600,3600,4400,4400,5400,3600,3600,5400,3600,3600,2900,2900,3600,3600,4400,5400,4400,4400,4400,5400,4400,3600,3600,2900,3600
"canne a peche",15200,"France",0.22,100,30,,,,18100,12100,9900,9900,9900,9900,9900,14800,14800,18100,14800,14800,18100,14800,12100,9900,9900,8100,9900,14800,14800,18100,18100,18100,22200,14800,12100,9900,9900,9900,8100,12100,14800,18100,14800,14800,18100,12100,9900,9900,9900,8100,8100,14800,14800,18100,18100,18100,22200,18100,14800,12100,12100,12100
"canne a peche mer",2100,"France",0.24,100,18,,,,2900,1600,1000,1000,1300,1300,1300,1600,1600,1600,2400,2900,3600,2900,1600,1300,1300,1300,1000,1300,1600,2400,2900,2900,4400,2400,1900,1600,1000,880,880,1000,1600,1900,1900,2400,2900,2400,1600,1000,1000,1000,1000,1600,1600,1900,2400,3600,4400,2900,1600,1600,1300,1300
"canne a carpe",2100,"France",0.17,100,34,,,,2400,1600,1600,1000,1000,1300,1300,1600,1900,2400,1900,2400,2900,2400,1600,1600,1000,1000,1000,1600,2400,2900,2900,2900,2900,1900,1600,1300,1000,1000,880,1300,1900,2900,1900,1900,2900,2400,1600,1300,1000,1000,1000,1600,2400,2900,2900,2900,3600,2900,1900,1300,1300,1300
"magasin de peche",14300,"France",0.22,10,22,,,,8100,3600,3600,2400,2900,2900,2900,4400,6600,8100,6600,9900,14800,8100,5400,4400,4400,3600,4400,6600,9900,9900,9900,14800,22200,12100,9900,6600,5400,5400,5400,8100,9900,14800,12100,18100,27100,12100,8100,6600,6600,5400,6600,9900,14800,14800,14800,22200,40500,14800,12100,6600,8100,6600
"canne a peche truite",1100,"France",0.21,100,21,,,,480,320,260,320,390,720,1300,2400,1900,1600,1000,1000,1300,720,590,480,590,590,1000,1600,1300,1300,1000,1000,1300,590,320,320,320,480,880,1600,1000,1300,880,720,880,480,260,260,320,590,1000,2400,1900,1600,1300,1300,1300,720,390,480,590,880
