"Keyword","Avg. Search Volume","Location","CPC","PPC","Keyword Difficulty","Search Volume 4/2015","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020"
"pêche",106000,"Anywhere",0.29,5,34,12100,12100,14800,12100,14800,14800,12100,90500,90500,110000,110000,110000,110000,135000,110000,110000,135000,110000,110000,110000,110000,110000,110000,135000,110000,135000,135000,135000,135000,110000,110000,90500,90500,90500,90500,110000,110000,135000,110000,135000,165000,135000,110000,74000,90500,90500,74000,90500,90500,110000,110000,135000,135000,135000,110000,90500,90500,110000
"materiel de peche",6900,"Anywhere",0.21,100,29,,,,,12100,9900,8100,8100,8100,9900,9900,12100,12100,12100,9900,9900,12100,8100,8100,8100,8100,6600,8100,9900,8100,9900,9900,9900,9900,8100,6600,6600,5400,6600,6600,8100,8100,8100,6600,6600,8100,6600,5400,4400,5400,5400,5400,6600,6600,8100,8100,8100,9900,8100,6600,5400,5400,5400
"materiel peche",2200,"Anywhere",0.22,100,44,,,,,4400,2900,2400,2400,2400,2900,2900,3600,3600,3600,2900,2900,3600,2400,2400,2400,1900,2400,2400,2900,2900,2900,2400,2400,2900,2400,1900,1900,1600,2400,2400,2900,2900,2900,2400,2400,2900,1900,1900,1600,1600,1900,1900,2400,2400,2900,2900,2900,3600,1900,1300,1600,1600,1300
"article de peche",7600,"Anywhere",0.27,100,40,5400,6600,5400,5400,6600,5400,4400,3600,4400,6600,6600,8100,8100,9900,8100,9900,9900,8100,6600,6600,5400,6600,6600,8100,6600,8100,8100,9900,12100,6600,6600,5400,4400,5400,5400,6600,6600,8100,6600,8100,9900,6600,5400,4400,5400,6600,5400,6600,6600,9900,8100,9900,14800,8100,6600,5400,5400,5400
"peche carpe",4500,"Anywhere",0.27,100,34,,,,,8100,6600,5400,5400,5400,6600,6600,8100,8100,8100,6600,8100,9900,6600,4400,3600,3600,4400,4400,5400,5400,5400,5400,5400,6600,4400,3600,3600,2900,4400,3600,4400,4400,5400,4400,4400,5400,4400,3600,2900,2900,3600,3600,4400,5400,5400,4400,5400,6600,4400,3600,3600,3600,3600
"canne a peche",20400,"Anywhere",0.23,100,38,,,,,22200,14800,14800,12100,12100,12100,12100,18100,18100,22200,18100,22200,27100,18100,14800,14800,14800,12100,12100,18100,22200,22200,22200,27100,27100,18100,14800,12100,12100,12100,12100,18100,18100,22200,22200,22200,22200,18100,14800,12100,12100,12100,12100,18100,18100,22200,27100,27100,33100,22200,18100,18100,14800,14800
"canne a peche mer",2400,"Anywhere",0.24,100,24,1300,1300,1600,2400,2900,1900,1000,1300,1600,1600,1600,1900,1900,1600,2400,3600,4400,3600,1900,1600,1600,1300,1300,1600,1900,2400,2900,3600,4400,2400,2400,1900,1300,1000,1300,1600,1600,2400,1900,2400,2900,2400,1900,1300,1300,1300,1300,1900,1900,2400,2900,3600,4400,3600,1900,1900,1600,1600
"canne a carpe",2200,"Anywhere",0.17,100,28,,,,,2400,1600,1600,1300,1000,1300,1300,1600,1900,2400,1900,2400,2900,2400,1900,1600,1300,1000,1000,1600,2900,2900,2900,2900,3600,1900,1600,1300,1000,1000,880,1300,1900,2900,1900,1900,2900,2400,1600,1300,1300,1000,1000,1600,2400,2900,2900,2900,3600,2900,1900,1600,1300,1600
"magasin de peche",18800,"Anywhere",0.26,10,,,,,,8100,4400,4400,2900,3600,3600,3600,5400,8100,9900,8100,12100,18100,9900,6600,5400,5400,4400,5400,8100,12100,12100,14800,22200,27100,14800,12100,8100,6600,6600,6600,9900,14800,18100,14800,22200,33100,14800,12100,8100,8100,8100,9900,12100,18100,18100,22200,33100,49500,18100,14800,9900,9900,9900
"canne a peche truite",1200,"Anywhere",0.21,100,29,1300,1600,1300,720,590,320,260,320,480,720,1300,2400,1900,1600,1000,1300,1300,720,590,480,590,590,1000,1900,1300,1600,1300,1300,1600,720,390,390,390,480,880,1600,1300,1300,1000,880,1000,590,390,320,320,590,1000,2400,1900,1600,1600,1600,1600,880,480,480,720,1000
"materiel de peche pas cher",1000,"Anywhere",0.21,100,39,720,1000,1300,1300,1600,880,480,880,880,1300,1000,1900,1900,2400,1600,1300,1300,1000,1000,1300,1000,1000,1000,2400,2400,2400,1900,1900,2400,1600,1300,1300,1000,1300,1300,1900,1600,1900,1300,1000,1300,1000,880,880,880,1000,1000,1300,1300,1600,1300,1000,1300,1000,720,880,720,880
"peche truite",3000,"Anywhere",0.33,20,,4400,3600,2900,2400,2400,1600,1000,1600,1900,2900,4400,8100,5400,4400,2900,2900,3600,2400,1600,1600,1600,2400,4400,6600,4400,3600,2900,3600,3600,1900,1600,1300,1300,2400,2900,5400,3600,2900,2400,2400,3600,1900,1600,1000,1300,1900,3600,5400,3600,2900,2900,4400,4400,2900,1600,1300,1600,1900
"peche en mer",7000,"Anywhere",0.32,28,39,,,,,18100,12100,12100,12100,12100,14800,14800,14800,14800,14800,14800,18100,18100,14800,14800,12100,12100,12100,12100,12100,9900,12100,12100,14800,14800,9900,9900,8100,8100,8100,8100,8100,8100,9900,8100,9900,12100,8100,8100,6600,8100,6600,5400,6600,5400,6600,6600,9900,12100,8100,6600,5400,5400,6600
"site de peche",1700,"Anywhere",0.22,65,42,,,,,1900,1600,1300,1300,1300,1600,1600,1600,1900,1900,1600,1600,1600,1300,1300,1300,1300,1300,1300,1600,1600,1900,1600,1600,1900,1300,1600,1600,1300,1600,1300,1600,1600,1900,1300,1300,1900,1600,1300,1300,1300,1600,1600,1600,1900,1900,1900,2400,2400,1600,1600,1600,1300,1600
"materiel de peche en mer",1100,"Anywhere",0.29,100,,880,880,590,720,880,880,720,880,720,880,720,720,1000,1000,880,880,1300,1300,1300,1000,1000,1000,1000,1000,1000,1000,1300,1600,1900,1300,1300,1000,880,1000,880,1000,1000,880,880,1000,1300,1000,1000,1000,880,880,880,1300,1000,1300,1300,1300,1600,1600,1000,880,1000,1000
"magasin de peche en ligne",1100,"Anywhere",0.24,100,,1000,1300,1000,1300,1300,1000,720,880,880,1000,1000,1300,1300,1300,1000,1000,1300,1000,880,880,880,1000,880,880,1000,1300,1300,1000,1000,880,880,880,590,1000,1000,1000,1000,1000,1000,880,1000,880,880,880,880,1300,1300,1300,1000,1300,1000,1300,1600,1000,880,880,1000,1000
"permis de peche",14500,"Anywhere",0.84,1,,12100,14800,12100,12100,9900,4400,2400,2400,5400,9900,9900,18100,14800,18100,14800,14800,12100,5400,2900,2400,5400,9900,12100,22200,18100,18100,14800,18100,14800,5400,3600,2400,4400,8100,6600,22200,18100,22200,14800,14800,14800,6600,3600,2400,4400,8100,14800,33100,18100,18100,22200,18100,18100,6600,4400,2900,6600,12100
"peche brochet",1800,"Anywhere",0.35,94,25,2400,3600,2400,1900,2400,1900,2400,2400,2400,1900,1600,1600,2900,3600,1900,2400,2400,2400,2400,2400,1900,1600,1600,1600,2400,2900,1900,2400,2400,1900,1900,1600,1600,1600,1000,1300,1900,2900,1600,1600,1900,1900,1900,1600,1300,1600,1000,1300,2400,2900,1900,1900,2400,1900,1900,1600,1600,1600
"canne a peche telescopique",890,"Anywhere",0.32,100,,590,720,720,880,880,480,320,390,480,590,590,720,720,1000,720,720,1000,720,480,480,480,480,480,720,590,720,880,880,880,590,480,390,390,390,480,720,720,880,720,880,1000,590,590,590,480,590,590,880,880,1000,1000,1300,1300,880,720,720,720,720
"article de peche pas cher",530,"Anywhere",0.23,100,,590,390,390,590,480,210,320,390,480,720,590,1000,1000,1300,720,880,880,880,880,720,480,480,480,1000,1000,1300,720,720,720,720,480,590,590,590,590,720,590,880,590,480,590,590,480,480,320,320,390,720,720,720,720,590,590,480,390,390,390,260
"peche carnassier",1400,"Anywhere",0.27,99,32,1600,2400,1300,1300,1300,1300,1300,1600,1600,1900,1300,1300,1900,2900,1300,1300,1600,1300,1600,1600,1600,1300,1300,1300,1900,2400,1600,1300,1600,1600,1600,1300,1300,1300,1000,1300,1600,1900,1300,1000,1600,1300,1300,1300,1300,1300,1000,1300,1600,1900,1300,1300,1600,1600,1300,1300,1600,1600
"article peche",1800,"Anywhere",0.36,25,,1600,2400,2400,1900,2400,1900,2900,3600,3600,5400,4400,4400,5400,6600,5400,4400,4400,3600,4400,5400,5400,6600,6600,5400,5400,6600,5400,5400,4400,3600,3600,3600,3600,5400,3600,3600,3600,2900,2900,2400,2900,1900,1900,2400,1900,2900,2400,2400,2400,2900,1900,1600,1600,1300,1300,1600,1600,1600
"moulinet",6500,"Anywhere",0.24,82,22,,,,,4400,3600,3600,4400,4400,4400,4400,5400,5400,5400,5400,5400,6600,5400,5400,5400,4400,4400,4400,5400,5400,5400,6600,6600,6600,5400,5400,5400,4400,5400,4400,5400,5400,6600,5400,5400,6600,6600,5400,5400,4400,5400,4400,5400,5400,6600,6600,8100,8100,6600,6600,6600,6600,8100
"peche mouche",1700,"Anywhere",0.47,100,35,2400,2400,2400,2400,2400,1900,1600,2400,2900,3600,2900,2900,2900,2400,1900,1900,1900,1600,1600,1600,2400,2400,2400,2900,1900,1900,1900,1900,1900,1600,1300,1600,1900,2400,1900,2400,1900,1900,1600,1600,1600,1600,1300,1300,1600,1900,1900,1900,1600,1600,1600,1600,1600,1600,2400,1900,1600,1600
"leurre",13400,"Anywhere",0.17,60,27,,,,,9900,12100,12100,9900,9900,12100,9900,12100,12100,12100,9900,9900,12100,9900,12100,9900,12100,9900,9900,12100,12100,12100,9900,9900,12100,9900,12100,12100,9900,12100,9900,12100,9900,12100,12100,9900,12100,12100,12100,14800,14800,12100,12100,12100,14800,14800,12100,12100,14800,14800,14800,14800,12100,12100
